ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched
KXWTAMATCH-25AUG14BROGAU-GAU,Will Coco Gauff win the Bronzetti vs Gauff match?,yes,1.0,2025-08,high,1d_before_close,1755102646,,,,False
KXWTAMATCH-25AUG14BROGAU-GAU,Will Coco Gauff win the Bronzetti vs Gauff match?,yes,1.0,2025-08,high,6h_before_close,1755167446,1755169200.0,1754.0,0.89,True
KXWTAMATCH-25AUG14BROGAU-GAU,Will Coco Gauff win the Bronzetti vs Gauff match?,yes,1.0,2025-08,high,1h_before_close,1755185446,1755187200.0,1754.0,0.96,True
KXWTAMATCH-25AUG14BROGAU-GAU,Will Coco Gauff win the Bronzetti vs Gauff match?,yes,1.0,2025-08,high,last_preclose,1755189046,1755187200.0,1846.0,0.96,True
KXNFLTOTAL-25AUG23BALWAS-41,Baltimore at Washington: Spread Total Points?,no,0.0,2025-08,low,1d_before_close,1755876010,,,,False
KXNFLTOTAL-25AUG23BALWAS-41,Baltimore at Washington: Spread Total Points?,no,0.0,2025-08,low,6h_before_close,1755940810,,,,False
KXNFLTOTAL-25AUG23BALWAS-41,Baltimore at Washington: Spread Total Points?,no,0.0,2025-08,low,1h_before_close,1755958810,,,,False
KXNFLTOTAL-25AUG23BALWAS-41,Baltimore at Washington: Spread Total Points?,no,0.0,2025-08,low,last_preclose,1755962410,,,,False
KXNCAAFTOTAL-25AUG29WIUILL-63,Western Illinois at Illinois: Spread Total Points?,no,0.0,2025-08,mid,1d_before_close,1756440030,1756443600.0,3570.0,0.48,True
KXNCAAFTOTAL-25AUG29WIUILL-63,Western Illinois at Illinois: Spread Total Points?,no,0.0,2025-08,mid,6h_before_close,1756504830,1756504800.0,30.0,0.46,True
KXNCAAFTOTAL-25AUG29WIUILL-63,Western Illinois at Illinois: Spread Total Points?,no,0.0,2025-08,mid,1h_before_close,1756522830,,,,False
